Context,Word,Probability
        [MASK],Ich,3.837718759314157e-05
       Ich [MASK],fürchte,0.002422688528895378
      Ich fürchte [MASK],Sie,0.0018263348611071706
     Ich fürchte Sie [MASK],müssen,2.0543739083223045e-05
    Ich fürchte Sie müssen [MASK],vorher,0.00023540412075817585
   Ich fürchte Sie müssen vorher [MASK],mit,0.0011179412249475718
  Ich fürchte Sie müssen vorher mit [MASK],einer,0.003411641577258706
 Ich fürchte Sie müssen vorher mit einer [MASK],Sense,4.958393765264191e-05
Ich fürchte Sie müssen vorher mit einer Sense [MASK],ran,0.000312422780552879
fürchte Sie müssen vorher mit einer Sense ran [MASK],,4.59222970761175e-09
Sie müssen vorher mit einer Sense ran  [MASK],meinte,4.2023097535093257e-07
müssen vorher mit einer Sense ran  meinte [MASK],Theo,6.479625369593123e-08
vorher mit einer Sense ran  meinte Theo [MASK],,8.57562643119536e-09
mit einer Sense ran  meinte Theo  [MASK],Sie,1.236585285369074e-05
einer Sense ran  meinte Theo  Sie [MASK],seufzte,2.699744982237462e-06
Sense ran  meinte Theo  Sie seufzte [MASK],,1.1802558930185114e-07
ran  meinte Theo  Sie seufzte  [MASK],Und,3.607751568779349e-05
 meinte Theo  Sie seufzte  Und [MASK],wo,0.0001811915572034195
meinte Theo  Sie seufzte  Und wo [MASK],bekomme,7.971571903908625e-06
Theo  Sie seufzte  Und wo bekomme [MASK],ich,0.14984983205795288
 Sie seufzte  Und wo bekomme ich [MASK],jetzt,0.00015421558055095375
Sie seufzte  Und wo bekomme ich jetzt [MASK],ne,5.655771019519307e-06
seufzte  Und wo bekomme ich jetzt ne [MASK],Sense,2.9915767299826257e-05
 Und wo bekomme ich jetzt ne Sense [MASK],her,1.330884401795629e-06
Und wo bekomme ich jetzt ne Sense her [MASK],,1.388846815331135e-10
wo bekomme ich jetzt ne Sense her  [MASK],Von,2.841456137048226e-07
bekomme ich jetzt ne Sense her  Von [MASK],mir,0.00030617669108323753
ich jetzt ne Sense her  Von mir [MASK],,3.480728594240645e-07
jetzt ne Sense her  Von mir  [MASK],Ich,3.9932227082317695e-05
ne Sense her  Von mir  Ich [MASK],hole,0.001092274789698422
Sense her  Von mir  Ich hole [MASK],sie,0.004203514661639929
her  Von mir  Ich hole sie [MASK],,1.8282268854363792e-07
 Von mir  Ich hole sie  [MASK],Prompt,1.1010419598278531e-07
Von mir  Ich hole sie  Prompt [MASK],setzte,4.841239409358877e-09
mir  Ich hole sie  Prompt setzte [MASK],er,3.1509400287177414e-05
 Ich hole sie  Prompt setzte er [MASK],sich,0.0005173758836463094
Ich hole sie  Prompt setzte er sich [MASK],in,0.0038621823769062757
hole sie  Prompt setzte er sich in [MASK],Bewegung,0.03490421921014786
sie  Prompt setzte er sich in Bewegung [MASK],und,0.0040418487042188644
 Prompt setzte er sich in Bewegung und [MASK],kam,0.0030363830737769604
Prompt setzte er sich in Bewegung und kam [MASK],kurze,7.628596449649194e-06
setzte er sich in Bewegung und kam kurze [MASK],Zeit,0.38699236512184143
er sich in Bewegung und kam kurze Zeit [MASK],später,0.42486608028411865
sich in Bewegung und kam kurze Zeit später [MASK],mit,0.0035155233927071095
in Bewegung und kam kurze Zeit später mit [MASK],der,0.005356562323868275
Bewegung und kam kurze Zeit später mit der [MASK],Sense,8.434280061919708e-06
und kam kurze Zeit später mit der Sense [MASK],zurück,0.019028065726161003
kam kurze Zeit später mit der Sense zurück [MASK],,3.071074843319366e-07
kurze Zeit später mit der Sense zurück  [MASK],Oh,1.6550100667700463e-07
Zeit später mit der Sense zurück  Oh [MASK],je,1.2287367098906543e-05
später mit der Sense zurück  Oh je [MASK],ist,0.00029748445376753807
mit der Sense zurück  Oh je ist [MASK],die,0.0003487311187200248
der Sense zurück  Oh je ist die [MASK],riesig,1.3812723409500904e-06
Sense zurück  Oh je ist die riesig [MASK],,7.038008931203876e-08
zurück  Oh je ist die riesig  [MASK],Übervorsichtig,3.884457692038268e-05
 Oh je ist die riesig  Übervorsichtig [MASK],nahm,1.2480186883934152e-09
Oh je ist die riesig  Übervorsichtig nahm [MASK],Marlene,4.0325488726011827e-07
je ist die riesig  Übervorsichtig nahm Marlene [MASK],das,1.3649355423694942e-06
ist die riesig  Übervorsichtig nahm Marlene das [MASK],Gerät,0.0007368660881184042
die riesig  Übervorsichtig nahm Marlene das Gerät [MASK],entgegen,0.0017120781121775508
riesig  Übervorsichtig nahm Marlene das Gerät entgegen [MASK],weil,4.12026423646239e-07
 Übervorsichtig nahm Marlene das Gerät entgegen weil [MASK],sie,0.07136084884405136
Übervorsichtig nahm Marlene das Gerät entgegen weil sie [MASK],fürchtete,0.00034315651282668114
nahm Marlene das Gerät entgegen weil sie fürchtete [MASK],sich,1.1932324014196638e-05
Marlene das Gerät entgegen weil sie fürchtete sich [MASK],an,0.0013376058777794242
das Gerät entgegen weil sie fürchtete sich an [MASK],dem,0.0017751356353983283
Gerät entgegen weil sie fürchtete sich an dem [MASK],scharfen,2.0895224224659614e-05
entgegen weil sie fürchtete sich an dem scharfen [MASK],langen,7.274274685187265e-05
weil sie fürchtete sich an dem scharfen langen [MASK],Messer,0.049977101385593414
sie fürchtete sich an dem scharfen langen Messer [MASK],zu,0.0005009403103031218
fürchtete sich an dem scharfen langen Messer zu [MASK],verletzen,0.12724046409130096
sich an dem scharfen langen Messer zu verletzen [MASK],,1.2367973795335274e-05
an dem scharfen langen Messer zu verletzen  [MASK],Sie,5.853293987456709e-05
dem scharfen langen Messer zu verletzen  Sie [MASK],hatte,1.776684143806051e-06
