Context,Word,Probability
        [MASK],,1.6024438309614197e-07
        [MASK],Recht,0.00011038278171326965
       Recht [MASK],selbstzufrieden,6.798415415687487e-05
      Recht selbstzufrieden [MASK],streckte,1.3098348290441209e-06
     Recht selbstzufrieden streckte [MASK],er,0.003279265481978655
    Recht selbstzufrieden streckte er [MASK],die,0.0018620576011016965
   Recht selbstzufrieden streckte er die [MASK],Hand,0.006232939660549164
  Recht selbstzufrieden streckte er die Hand [MASK],danach,0.00027078166021965444
 Recht selbstzufrieden streckte er die Hand danach [MASK],aus,0.013068977743387222
Recht selbstzufrieden streckte er die Hand danach aus [MASK],,8.521746508449723e-08
selbstzufrieden streckte er die Hand danach aus  [MASK],Er,4.906459594167245e-07
streckte er die Hand danach aus  Er [MASK],musste,2.017312226598733e-06
er die Hand danach aus  Er musste [MASK],beides,0.0002017968217842281
die Hand danach aus  Er musste beides [MASK],wohl,0.00012324913404881954
Hand danach aus  Er musste beides wohl [MASK],gemeinsam,6.643052620347589e-05
danach aus  Er musste beides wohl gemeinsam [MASK],mit,0.0005600648000836372
aus  Er musste beides wohl gemeinsam mit [MASK],dem,0.010477535426616669
 Er musste beides wohl gemeinsam mit dem [MASK],Kaktus,7.363536269622273e-07
Er musste beides wohl gemeinsam mit dem Kaktus [MASK],dort,2.5964120140997693e-05
musste beides wohl gemeinsam mit dem Kaktus dort [MASK],hingepfeffert,0.00026228444767184556
beides wohl gemeinsam mit dem Kaktus dort hingepfeffert [MASK],haben,0.0032177006360143423
wohl gemeinsam mit dem Kaktus dort hingepfeffert haben [MASK],,1.985691255868005e-07
gemeinsam mit dem Kaktus dort hingepfeffert haben  [MASK],als,2.002584187721368e-05
mit dem Kaktus dort hingepfeffert haben  als [MASK],er,0.0011129755293950438
dem Kaktus dort hingepfeffert haben  als er [MASK],die,0.00029571898630820215
Kaktus dort hingepfeffert haben  als er die [MASK],Kartons,1.6168083675438538e-05
dort hingepfeffert haben  als er die Kartons [MASK],zu,8.237754082074389e-05
hingepfeffert haben  als er die Kartons zu [MASK],retten,0.0007569094887003303
haben  als er die Kartons zu retten [MASK],versuchte,0.1458066999912262
 als er die Kartons zu retten versuchte [MASK],,2.7383975975681096e-06
als er die Kartons zu retten versuchte  [MASK],Au,7.645650157428463e-08
er die Kartons zu retten versuchte  Au [MASK],T-s-s,1.7868403574539116e-06
die Kartons zu retten versuchte  Au T-s-s [MASK],,3.4506474122508735e-08
Kartons zu retten versuchte  Au T-s-s  [MASK],Ah,1.1449143130448647e-05
zu retten versuchte  Au T-s-s  Ah [MASK],,1.0327948912758345e-10
retten versuchte  Au T-s-s  Ah  [MASK],Haben,6.946792382223066e-06
versuchte  Au T-s-s  Ah  Haben [MASK],Sie,0.0005453734192997217
 Au T-s-s  Ah  Haben Sie [MASK],sich,0.001282300567254424
Au T-s-s  Ah  Haben Sie sich [MASK],gepikst,7.286209893209161e-06
T-s-s  Ah  Haben Sie sich gepikst [MASK],,1.2129000914740118e-08
 Ah  Haben Sie sich gepikst  [MASK],Ja,1.7684620843283483e-06
Ah  Haben Sie sich gepikst  Ja [MASK],jetzt,1.1765457202272955e-05
 Haben Sie sich gepikst  Ja jetzt [MASK],hab,1.1993441148661077e-05
Haben Sie sich gepikst  Ja jetzt hab [MASK],ich,0.00018521161109674722
Sie sich gepikst  Ja jetzt hab ich [MASK],nen,0.00023820021306164563
sich gepikst  Ja jetzt hab ich nen [MASK],Stachel,8.579373570682947e-06
gepikst  Ja jetzt hab ich nen Stachel [MASK],im,9.691367449704558e-05
 Ja jetzt hab ich nen Stachel im [MASK],Finger,0.001046150573529303
Ja jetzt hab ich nen Stachel im Finger [MASK],,5.27021438756492e-06
jetzt hab ich nen Stachel im Finger  [MASK],Ah,1.3716822877540835e-07
hab ich nen Stachel im Finger  Ah [MASK],das,4.592977347783744e-05
ich nen Stachel im Finger  Ah das [MASK],tut,0.000832164369057864
nen Stachel im Finger  Ah das tut [MASK],schweinisch,4.7640952516303514e-07
