Context,Entropy
        [MASK],1.5630042354471072
       Viele [MASK],1.4420594659933674
      Viele Wissenschaftler [MASK],1.582202392769032
     Viele Wissenschaftler  [MASK],1.582202392769032
    Viele Wissenschaftler  wundern [MASK],0.9019965002708124
   Viele Wissenschaftler  wundern sich [MASK],1.1722061717874013
  Viele Wissenschaftler  wundern sich auch [MASK],1.2690391238273844
 Viele Wissenschaftler  wundern sich auch heute [MASK],1.4608714332612842
Viele Wissenschaftler  wundern sich auch heute noch [MASK],1.4541420965198275
Wissenschaftler  wundern sich auch heute noch darüber [MASK],1.1898618079428354
 wundern sich auch heute noch darüber  [MASK],1.526654198930863
wundern sich auch heute noch darüber  dass [MASK],1.5891508435049722
sich auch heute noch darüber  dass die [MASK],1.33018199121587
auch heute noch darüber  dass die Eskimos [MASK],1.506368672997318
heute noch darüber  dass die Eskimos in [MASK],1.5788076135187983
noch darüber  dass die Eskimos in den [MASK],1.435476868532021
darüber  dass die Eskimos in den unbewegsamen [MASK],1.5807598716929414
 dass die Eskimos in den unbewegsamen baumlosen [MASK],1.4850050383653415
dass die Eskimos in den unbewegsamen baumlosen Gebieten [MASK],1.2409655340990937
die Eskimos in den unbewegsamen baumlosen Gebieten der [MASK],1.5710260439884611
Eskimos in den unbewegsamen baumlosen Gebieten der arktischen [MASK],1.3753955108657323
in den unbewegsamen baumlosen Gebieten der arktischen Tundra [MASK],1.577282209582156
den unbewegsamen baumlosen Gebieten der arktischen Tundra überlebten [MASK],1.4107872233706622
unbewegsamen baumlosen Gebieten der arktischen Tundra überlebten  [MASK],1.508472426900988
baumlosen Gebieten der arktischen Tundra überlebten  Vor [MASK],1.4183604550757045
Gebieten der arktischen Tundra überlebten  Vor allem [MASK],1.556100774230925
der arktischen Tundra überlebten  Vor allem im [MASK],1.5532400986188877
arktischen Tundra überlebten  Vor allem im Winter [MASK],1.2926844358381269
Tundra überlebten  Vor allem im Winter  [MASK],0.7212296637373057
überlebten  Vor allem im Winter  konnte [MASK],1.4919333138411726
 Vor allem im Winter  konnte Nahrung [MASK],1.6016314923075208
Vor allem im Winter  konnte Nahrung über [MASK],1.3870622951576683
allem im Winter  konnte Nahrung über Monate [MASK],1.4873978238829049
im Winter  konnte Nahrung über Monate knapp [MASK],1.5899240834334978
Winter  konnte Nahrung über Monate knapp  [MASK],1.1733705000155938
 konnte Nahrung über Monate knapp  werden [MASK],1.1209875279859884
konnte Nahrung über Monate knapp  werden  [MASK],1.1209875279859884
Nahrung über Monate knapp  werden  Die [MASK],1.6003633495543919
über Monate knapp  werden  Die  [MASK],1.605370374102253
Monate knapp  werden  Die  Menschen [MASK],0.7659369967152717
knapp  werden  Die  Menschen mussten [MASK],1.1307532771007236
 werden  Die  Menschen mussten manche [MASK],1.4643840972109763
werden  Die  Menschen mussten manche schwere [MASK],0.653989009075284
 Die  Menschen mussten manche schwere Dürre [MASK],0.9451026608964088
Die  Menschen mussten manche schwere Dürre überstehen [MASK],0.7773324141030111
 Menschen mussten manche schwere Dürre überstehen  [MASK],1.4900707437178062
Menschen mussten manche schwere Dürre überstehen  und [MASK],1.1308281680291832
mussten manche schwere Dürre überstehen  und langen [MASK],1.4927634516887855
manche schwere Dürre überstehen  und langen Stürmen [MASK],1.5314268257799324
schwere Dürre überstehen  und langen Stürmen trotzen [MASK],1.5192670010706164
Dürre überstehen  und langen Stürmen trotzen  [MASK],1.4936236719148481
überstehen  und langen Stürmen trotzen  Trotz [MASK],1.5225611214903108
 und langen Stürmen trotzen  Trotz Hunger [MASK],1.5161833343241495
und langen Stürmen trotzen  Trotz Hunger und [MASK],1.1784104909490722
langen Stürmen trotzen  Trotz Hunger und Kälte [MASK],1.5104901496441563
Stürmen trotzen  Trotz Hunger und Kälte konnte [MASK],1.5884919424835844
trotzen  Trotz Hunger und Kälte konnte sich [MASK],1.4766490555055716
 Trotz Hunger und Kälte konnte sich in [MASK],1.536715577212827
Trotz Hunger und Kälte konnte sich in der [MASK],1.4550533479817578
Hunger und Kälte konnte sich in der kargen [MASK],1.4045305855280408
und Kälte konnte sich in der kargen Natur [MASK],1.5096598330932967
Kälte konnte sich in der kargen Natur eine [MASK],1.607813554452263
konnte sich in der kargen Natur eine eigene [MASK],1.4330016421378942
sich in der kargen Natur eine eigene Kultur [MASK],1.6088795434541694
in der kargen Natur eine eigene Kultur entfalten [MASK],1.547254861745006
der kargen Natur eine eigene Kultur entfalten  [MASK],1.5879569547019414
kargen Natur eine eigene Kultur entfalten  Dem [MASK],1.1879835848990679
Natur eine eigene Kultur entfalten  Dem seltsamen [MASK],1.3014348947469256
eine eigene Kultur entfalten  Dem seltsamen Namen [MASK],1.579433886893935
eigene Kultur entfalten  Dem seltsamen Namen der [MASK],1.592406447513788
Kultur entfalten  Dem seltsamen Namen der Eskimos [MASK],1.5771675394391909
entfalten  Dem seltsamen Namen der Eskimos war [MASK],1.4582582619360012
 Dem seltsamen Namen der Eskimos war als [MASK],1.515935462724574
Dem seltsamen Namen der Eskimos war als erster [MASK],1.6005507833905885
seltsamen Namen der Eskimos war als erster ein [MASK],1.479084707288846
Namen der Eskimos war als erster ein junger [MASK],1.0309930177021775
der Eskimos war als erster ein junger Journalist [MASK],1.0950013425211529
Eskimos war als erster ein junger Journalist auf [MASK],1.5364693755606356
war als erster ein junger Journalist auf der [MASK],1.564333017905192
als erster ein junger Journalist auf der Anpassung [MASK],1.4308922971959135
erster ein junger Journalist auf der Anpassung  [MASK],1.5762168311459284
ein junger Journalist auf der Anpassung  Er [MASK],0.5943971475934634
junger Journalist auf der Anpassung  Er forschte [MASK],1.5589001572666534
Journalist auf der Anpassung  Er forschte nach [MASK],1.5037610359576878
auf der Anpassung  Er forschte nach ähnlichen [MASK],1.4893406671555294
der Anpassung  Er forschte nach ähnlichen oder [MASK],0.34083711506716724
Anpassung  Er forschte nach ähnlichen oder bedeutungsgleichen [MASK],1.536419623431308
 Er forschte nach ähnlichen oder bedeutungsgleichen Wörtern [MASK],1.41573682285184
Er forschte nach ähnlichen oder bedeutungsgleichen Wörtern und [MASK],1.322181757657737
forschte nach ähnlichen oder bedeutungsgleichen Wörtern und wurde [MASK],1.0953101952043354
nach ähnlichen oder bedeutungsgleichen Wörtern und wurde fündig [MASK],1.5010466826753808
ähnlichen oder bedeutungsgleichen Wörtern und wurde fündig  [MASK],1.595160020290043
oder bedeutungsgleichen Wörtern und wurde fündig  Eskimo [MASK],0.8735119857065409
bedeutungsgleichen Wörtern und wurde fündig  Eskimo ist [MASK],1.5804877157419164
Wörtern und wurde fündig  Eskimo ist ein [MASK],1.6040806757736368
und wurde fündig  Eskimo ist ein einfaches [MASK],1.5540323757826435
wurde fündig  Eskimo ist ein einfaches Synonym [MASK],1.3530787151372268
fündig  Eskimo ist ein einfaches Synonym eines [MASK],1.2731973651254136
 Eskimo ist ein einfaches Synonym eines Wortes [MASK],1.460770920437022
Eskimo ist ein einfaches Synonym eines Wortes aus [MASK],1.5749033563322583
ist ein einfaches Synonym eines Wortes aus der [MASK],1.5798747397765647
