Context,Entropy
        [MASK],1.5630042354471072
       Cat [MASK],1.3975142807188983
      Cat Garcia [MASK],1.5349474101978702
     Cat Garcia ließ [MASK],1.5224879929505915
    Cat Garcia ließ den [MASK],1.4903843447695917
   Cat Garcia ließ den Ring [MASK],1.6018619880305336
  Cat Garcia ließ den Ring mit [MASK],0.4666260374134191
 Cat Garcia ließ den Ring mit der [MASK],1.152263612989181
Cat Garcia ließ den Ring mit der Reihe [MASK],1.5557374731561249
Garcia ließ den Ring mit der Reihe silberner [MASK],1.2233712149355032
ließ den Ring mit der Reihe silberner Schlüssel [MASK],1.5566277182047403
den Ring mit der Reihe silberner Schlüssel daran [MASK],1.5361578859418883
Ring mit der Reihe silberner Schlüssel daran vor [MASK],1.3679528986941245
mit der Reihe silberner Schlüssel daran vor der [MASK],1.2075351175153193
der Reihe silberner Schlüssel daran vor der Nase [MASK],1.4672864450393226
Reihe silberner Schlüssel daran vor der Nase ihrer [MASK],1.5719071751296654
silberner Schlüssel daran vor der Nase ihrer besten [MASK],0.4183414777411016
Schlüssel daran vor der Nase ihrer besten Freundin [MASK],1.4969651138266966
daran vor der Nase ihrer besten Freundin baumeln [MASK],1.4896363874855059
vor der Nase ihrer besten Freundin baumeln  [MASK],1.4337528328035636
der Nase ihrer besten Freundin baumeln  Willst [MASK],1.5705234147789824
Nase ihrer besten Freundin baumeln  Willst du [MASK],1.57604353176154
ihrer besten Freundin baumeln  Willst du oder [MASK],1.1819175570820653
besten Freundin baumeln  Willst du oder soll [MASK],1.581742160189632
Freundin baumeln  Willst du oder soll ich [MASK],1.596897448974602
baumeln  Willst du oder soll ich  [MASK],1.6021018166755996
 Willst du oder soll ich  Sadie [MASK],1.398861326136597
Willst du oder soll ich  Sadie Smart [MASK],1.4831595960542998
du oder soll ich  Sadie Smart spürte [MASK],1.5262996437413072
oder soll ich  Sadie Smart spürte wie [MASK],1.4465982932411112
soll ich  Sadie Smart spürte wie ihr [MASK],1.5619432310988812
ich  Sadie Smart spürte wie ihr ein [MASK],1.3760467036804649
 Sadie Smart spürte wie ihr ein Schauer [MASK],1.5989480961230806
Sadie Smart spürte wie ihr ein Schauer den [MASK],1.5654731028753524
Smart spürte wie ihr ein Schauer den Rücken [MASK],1.4427693796349679
spürte wie ihr ein Schauer den Rücken hinablief [MASK],1.4582400731783387
wie ihr ein Schauer den Rücken hinablief  [MASK],1.4136790474810812
ihr ein Schauer den Rücken hinablief  der [MASK],1.5801928145245392
ein Schauer den Rücken hinablief  der nichts [MASK],1.5161821326789338
Schauer den Rücken hinablief  der nichts mit [MASK],1.5610305447840567
den Rücken hinablief  der nichts mit der [MASK],1.601354840101827
Rücken hinablief  der nichts mit der kühlen [MASK],1.5895364067287512
hinablief  der nichts mit der kühlen Novemberluft [MASK],1.5596951841751905
 der nichts mit der kühlen Novemberluft zu [MASK],0.0841901766945969
der nichts mit der kühlen Novemberluft zu tun [MASK],0.5310089428126472
nichts mit der kühlen Novemberluft zu tun hatte [MASK],0.9498113335356417
mit der kühlen Novemberluft zu tun hatte  [MASK],1.1203479132997392
der kühlen Novemberluft zu tun hatte  Die [MASK],1.4452431981375433
kühlen Novemberluft zu tun hatte  Die letzten [MASK],1.2917304755395185
Novemberluft zu tun hatte  Die letzten Wochen [MASK],1.591677558087866
zu tun hatte  Die letzten Wochen hatten [MASK],1.3359073648505146
tun hatte  Die letzten Wochen hatten sie [MASK],1.593648181190482
hatte  Die letzten Wochen hatten sie allein [MASK],1.3445966210529854
 Die letzten Wochen hatten sie allein auf [MASK],1.1916346424332491
Die letzten Wochen hatten sie allein auf  [MASK],1.1916346424332491
letzten Wochen hatten sie allein auf  diesen [MASK],1.5373896415826707
Wochen hatten sie allein auf  diesen einen [MASK],1.3679235758494903
hatten sie allein auf  diesen einen Moment [MASK],0.1939741285995274
sie allein auf  diesen einen Moment hingearbeitet [MASK],1.4967563129264843
allein auf  diesen einen Moment hingearbeitet  [MASK],1.5539243444003077
auf  diesen einen Moment hingearbeitet  den [MASK],1.3403430471215452
 diesen einen Moment hingearbeitet  den Moment [MASK],1.607071725213115
diesen einen Moment hingearbeitet  den Moment in [MASK],1.6053272337008533
einen Moment hingearbeitet  den Moment in dem [MASK],1.411205389234444
Moment hingearbeitet  den Moment in dem sie [MASK],1.0493345713290816
hingearbeitet  den Moment in dem sie und [MASK],1.4254852943145944
 den Moment in dem sie und Cat [MASK],0.7241810371785933
den Moment in dem sie und Cat zum [MASK],1.5161829248070866
Moment in dem sie und Cat zum ersten [MASK],0.28556593681196607
in dem sie und Cat zum ersten Mal [MASK],1.4234588066429292
dem sie und Cat zum ersten Mal  [MASK],1.3853241974711745
sie und Cat zum ersten Mal  ihre [MASK],1.235269243458364
und Cat zum ersten Mal  ihre nigelnagelneue [MASK],1.4366900576002435
Cat zum ersten Mal  ihre nigelnagelneue Keksbäckerei [MASK],1.5638453251283326
zum ersten Mal  ihre nigelnagelneue Keksbäckerei Smart [MASK],1.329059019972927
ersten Mal  ihre nigelnagelneue Keksbäckerei Smart Cookies [MASK],1.5804866921240701
Mal  ihre nigelnagelneue Keksbäckerei Smart Cookies  [MASK],1.581210074158128
 ihre nigelnagelneue Keksbäckerei Smart Cookies  betreten [MASK],1.5374512352034997
ihre nigelnagelneue Keksbäckerei Smart Cookies  betreten würden [MASK],1.5990070184179292
nigelnagelneue Keksbäckerei Smart Cookies  betreten würden  [MASK],1.55785688137307
Keksbäckerei Smart Cookies  betreten würden  Es [MASK],1.4039292001870995
Smart Cookies  betreten würden  Es war [MASK],1.5093582342195213
Cookies  betreten würden  Es war ein [MASK],1.5521116773977237
 betreten würden  Es war ein Traum [MASK],1.3276579743786252
betreten würden  Es war ein Traum der [MASK],1.3408865491530984
würden  Es war ein Traum der sie [MASK],1.505357120360071
 Es war ein Traum der sie seit [MASK],1.3080546019302932
Es war ein Traum der sie seit der [MASK],1.548634642405911
war ein Traum der sie seit der Schulzeit [MASK],0.5487767900266358
ein Traum der sie seit der Schulzeit verband [MASK],1.3424646019232527
Traum der sie seit der Schulzeit verband  [MASK],1.5474679569193142
der sie seit der Schulzeit verband  ein [MASK],1.556092880761522
sie seit der Schulzeit verband  ein eigenes [MASK],1.5225015729753173
seit der Schulzeit verband  ein eigenes Geschäft [MASK],1.4671020056244473
der Schulzeit verband  ein eigenes Geschäft  [MASK],1.243601167894377
Schulzeit verband  ein eigenes Geschäft  das [MASK],1.552043355503506
verband  ein eigenes Geschäft  das Cats [MASK],1.5544049227506396
 ein eigenes Geschäft  das Cats Backliebe [MASK],1.143294594366873
ein eigenes Geschäft  das Cats Backliebe und [MASK],1.600765151268529
eigenes Geschäft  das Cats Backliebe und Sadies [MASK],1.5862248336935394
Geschäft  das Cats Backliebe und Sadies künstlerisches [MASK],1.4307534426327846
 das Cats Backliebe und Sadies künstlerisches Talent [MASK],1.4496487403161682
das Cats Backliebe und Sadies künstlerisches Talent zusammenbrachte [MASK],0.5758341275468273
Cats Backliebe und Sadies künstlerisches Talent zusammenbrachte  [MASK],1.063697299216598
Backliebe und Sadies künstlerisches Talent zusammenbrachte  Und [MASK],1.5770268099739944
und Sadies künstlerisches Talent zusammenbrachte  Und es [MASK],1.536449466077505
Sadies künstlerisches Talent zusammenbrachte  Und es konnte [MASK],1.5463961990279476
künstlerisches Talent zusammenbrachte  Und es konnte kaum [MASK],1.3083112049244197
Talent zusammenbrachte  Und es konnte kaum einen [MASK],1.5666414766824868
zusammenbrachte  Und es konnte kaum einen besseren [MASK],1.4683857854038431
 Und es konnte kaum einen besseren Ort [MASK],0.8740282205861498
Und es konnte kaum einen besseren Ort für [MASK],1.5771998126344207
es konnte kaum einen besseren Ort für ihren [MASK],1.6039925697681836
konnte kaum einen besseren Ort für ihren Laden [MASK],0.6544933739001012
kaum einen besseren Ort für ihren Laden geben [MASK],1.5889268581773321
einen besseren Ort für ihren Laden geben  [MASK],1.5559029101018689
besseren Ort für ihren Laden geben  als [MASK],1.5089342109882584
Ort für ihren Laden geben  als den [MASK],1.4510065105668433
für ihren Laden geben  als den schrulligen [MASK],1.5726132949985652
ihren Laden geben  als den schrulligen Platz [MASK],1.5242831522022118
Laden geben  als den schrulligen Platz Castle [MASK],1.5879614906517183
geben  als den schrulligen Platz Castle Court [MASK],1.0833930099416793
 als den schrulligen Platz Castle Court  [MASK],1.1186060544223069
als den schrulligen Platz Castle Court  im [MASK],1.3873188194572328
den schrulligen Platz Castle Court  im Herzen [MASK],1.4579990618590903
schrulligen Platz Castle Court  im Herzen ihrer [MASK],1.552841140103075
Platz Castle Court  im Herzen ihrer Traum [MASK],1.2832794185140894
Castle Court  im Herzen ihrer Traum  [MASK],1.2996732521147656
Court  im Herzen ihrer Traum  Eine [MASK],1.573061544723979
 im Herzen ihrer Traum  Eine Oase [MASK],1.4905009134049991
im Herzen ihrer Traum  Eine Oase inmitten [MASK],1.4843135899468156
