Context,Entropy
       Es [MASK],1.5586609210081033
      Es war [MASK],1.57748461055906
     Es war der [MASK],1.5954827208706799
    Es war der neunte [MASK],1.447927060759636
   Es war der neunte November [MASK],1.4777514123052973
  Es war der neunte November  [MASK],1.4777514123052973
 Es war der neunte November  Nur [MASK],1.3129984730523259
Es war der neunte November  Nur noch [MASK],1.5368978411162675
war der neunte November  Nur noch dreieinhalb [MASK],0.6869035060094609
der neunte November  Nur noch dreieinhalb Wochen [MASK],1.5725956636163394
neunte November  Nur noch dreieinhalb Wochen bis [MASK],1.3677032691997828
November  Nur noch dreieinhalb Wochen bis zur [MASK],1.5914482397614838
 Nur noch dreieinhalb Wochen bis zur Schultern [MASK],1.5062547097003942
Nur noch dreieinhalb Wochen bis zur Schultern  [MASK],1.5062547097003942
noch dreieinhalb Wochen bis zur Schultern  Ziemlich [MASK],0.7955717161608596
dreieinhalb Wochen bis zur Schultern  Ziemlich knapp [MASK],1.4689901947722277
Wochen bis zur Schultern  Ziemlich knapp kalkuliert [MASK],1.4956587713082539
bis zur Schultern  Ziemlich knapp kalkuliert wenn [MASK],1.58395915781817
zur Schultern  Ziemlich knapp kalkuliert wenn der [MASK],1.5571457727932216
Schultern  Ziemlich knapp kalkuliert wenn der Laden [MASK],0.7672751814642429
 Ziemlich knapp kalkuliert wenn der Laden in [MASK],1.596878515301994
Ziemlich knapp kalkuliert wenn der Laden in aller [MASK],1.2227168143607785
knapp kalkuliert wenn der Laden in aller Munde [MASK],1.3747477140481308
kalkuliert wenn der Laden in aller Munde sein [MASK],1.4488752038483317
wenn der Laden in aller Munde sein sollte [MASK],1.1051083490154254
der Laden in aller Munde sein sollte  [MASK],1.2511853581224128
Laden in aller Munde sein sollte  bevor [MASK],0.7059060831992915
in aller Munde sein sollte  bevor das [MASK],1.445366859429223
aller Munde sein sollte  bevor das wichtige [MASK],1.2747232591782702
Munde sein sollte  bevor das wichtige Weihnachtsgeschäft [MASK],1.447820874091682
sein sollte  bevor das wichtige Weihnachtsgeschäft losging [MASK],1.36097275535786
sollte  bevor das wichtige Weihnachtsgeschäft losging  [MASK],1.4810863744993992
 bevor das wichtige Weihnachtsgeschäft losging  Und [MASK],1.5649926664405889
bevor das wichtige Weihnachtsgeschäft losging  Und bevor [MASK],1.2944237111085706
das wichtige Weihnachtsgeschäft losging  Und bevor wir [MASK],1.553082123773486
wichtige Weihnachtsgeschäft losging  Und bevor wir Bilder [MASK],1.5839578877229394
Weihnachtsgeschäft losging  Und bevor wir Bilder von [MASK],1.067671338262673
losging  Und bevor wir Bilder von den [MASK],1.503530726560521
 Und bevor wir Bilder von den Keksen [MASK],1.4154725563408004
Und bevor wir Bilder von den Keksen machen [MASK],1.4036747379888688
bevor wir Bilder von den Keksen machen können [MASK],1.5021601105058562
wir Bilder von den Keksen machen können  [MASK],1.490497536164333
Bilder von den Keksen machen können  müssen [MASK],1.4951369028252586
von den Keksen machen können  müssen sie [MASK],1.6038808960302142
den Keksen machen können  müssen sie verziert [MASK],1.2289107038340887
Keksen machen können  müssen sie verziert werden [MASK],1.1878416235370437
machen können  müssen sie verziert werden  [MASK],1.2282799257769683
können  müssen sie verziert werden  fügte [MASK],1.3115093723178002
 müssen sie verziert werden  fügte Sadie [MASK],1.6001542441427552
müssen sie verziert werden  fügte Sadie hinzu [MASK],1.503257860802113
sie verziert werden  fügte Sadie hinzu  [MASK],1.4043906365708678
verziert werden  fügte Sadie hinzu  während [MASK],1.271555907907648
werden  fügte Sadie hinzu  während sie [MASK],1.4481537330016696
 fügte Sadie hinzu  während sie an [MASK],1.4554231182139967
fügte Sadie hinzu  während sie an die [MASK],1.3699509223215203
Sadie hinzu  während sie an die verschiedenen [MASK],1.5922182410811503
hinzu  während sie an die verschiedenen Entwürfe [MASK],1.3769389479165726
 während sie an die verschiedenen Entwürfe dachte [MASK],0.9428413593861897
während sie an die verschiedenen Entwürfe dachte  [MASK],0.9428413593861897
sie an die verschiedenen Entwürfe dachte  die [MASK],1.5788268677739123
an die verschiedenen Entwürfe dachte  die auf [MASK],1.579369821760348
die verschiedenen Entwürfe dachte  die auf dem [MASK],1.5540540055570258
verschiedenen Entwürfe dachte  die auf dem Esstisch [MASK],1.4793340851658612
Entwürfe dachte  die auf dem Esstisch ihres [MASK],1.4673041740344486
dachte  die auf dem Esstisch ihres winzigen [MASK],1.576854979137471
 die auf dem Esstisch ihres winzigen Drei [MASK],1.2570033889049548
die auf dem Esstisch ihres winzigen Drei zimmer [MASK],1.2010509635993918
auf dem Esstisch ihres winzigen Drei zimmer Cottages [MASK],1.3115197064582613
dem Esstisch ihres winzigen Drei zimmer Cottages verteilt [MASK],1.5290195219134592
Esstisch ihres winzigen Drei zimmer Cottages verteilt lagen [MASK],1.477264906611176
ihres winzigen Drei zimmer Cottages verteilt lagen in [MASK],1.5979762690388424
winzigen Drei zimmer Cottages verteilt lagen in dem [MASK],1.5049746597745712
Drei zimmer Cottages verteilt lagen in dem sie [MASK],1.4923984278979836
zimmer Cottages verteilt lagen in dem sie mit [MASK],1.4678475548646577
Cottages verteilt lagen in dem sie mit Lissy [MASK],1.5811984862759172
verteilt lagen in dem sie mit Lissy wohnte [MASK],0.8832533127159877
lagen in dem sie mit Lissy wohnte  [MASK],1.156907059817208
in dem sie mit Lissy wohnte  Zuerst [MASK],1.5084683956656828
dem sie mit Lissy wohnte  Zuerst hatten [MASK],0.7696241042574974
sie mit Lissy wohnte  Zuerst hatten sie [MASK],1.405030340816826
mit Lissy wohnte  Zuerst hatten sie mit [MASK],1.6000912502098013
Lissy wohnte  Zuerst hatten sie mit nur [MASK],1.5222416184593068
wohnte  Zuerst hatten sie mit nur wenigen [MASK],0.8996761793918349
 Zuerst hatten sie mit nur wenigen Designs [MASK],1.083947571944979
Zuerst hatten sie mit nur wenigen Designs geplant [MASK],0.6787870696042029
hatten sie mit nur wenigen Designs geplant  [MASK],0.9612899404502395
sie mit nur wenigen Designs geplant  aber [MASK],1.588370872756456
mit nur wenigen Designs geplant  aber Cat [MASK],1.1044389862802522
nur wenigen Designs geplant  aber Cat hatte [MASK],1.5473060791914315
wenigen Designs geplant  aber Cat hatte immer [MASK],1.5655349603291637
Designs geplant  aber Cat hatte immer mehr [MASK],1.5896126090189706
geplant  aber Cat hatte immer mehr gewollt [MASK],0.9702207009242407
 aber Cat hatte immer mehr gewollt  [MASK],0.7892558543519625
aber Cat hatte immer mehr gewollt  Eine [MASK],1.5276279115678835
Cat hatte immer mehr gewollt  Eine Willkommen [MASK],0.953348953207082
hatte immer mehr gewollt  Eine Willkommen im [MASK],1.599616649914605
immer mehr gewollt  Eine Willkommen im Leben [MASK],1.5799973794779314
mehr gewollt  Eine Willkommen im Leben Baby [MASK],1.0570004022386064
gewollt  Eine Willkommen im Leben Baby Serie [MASK],1.2824703250917646
 Eine Willkommen im Leben Baby Serie in [MASK],1.5914843522982751
Eine Willkommen im Leben Baby Serie in Rosa [MASK],1.3865388371077836
Willkommen im Leben Baby Serie in Rosa Blau [MASK],1.550123946413311
im Leben Baby Serie in Rosa Blau und [MASK],1.44604166446892
Leben Baby Serie in Rosa Blau und Gelb [MASK],1.5325930571930841
Baby Serie in Rosa Blau und Gelb  [MASK],1.5469760723963433
